source,target,edge_weight
98,51,1
48,51,1
58,52,1
51,52,1
70,52,2
48,52,19
97,52,26
9,52,1
118,52,1
52,70,1
127,52,1
52,123,1
97,113,1
52,97,7
106,52,1
97,476,1
108,124,1
103,120,1
165,850,1
166,113,1
183,52,1
192,97,1
108,97,1
52,850,1
108,52,1
171,52,1
180,155,1
180,113,2
155,113,3
16,113,1
113,52,2
170,52,2
48,170,1
216,850,2
108,216,1
212,52,1
52,212,1
108,212,1
205,97,1
97,205,1
48,205,3
205,48,1
225,52,1
225,48,5
48,225,5
217,52,1
228,194,1
97,236,1
52,236,1
200,52,1
234,52,1
235,113,1
230,97,1
97,59,1
242,52,1
229,52,1
208,52,1
52,113,4
231,113,1
297,291,2
291,297,2
95,291,1
288,291,1
292,271,1
267,194,1
273,271,1
323,271,1
48,271,9
305,345,1
338,345,1
345,338,1
322,271,2
322,194,1
194,322,1
366,271,1
305,388,1
305,452,1
209,452,1
269,194,1
209,389,2
389,209,1
367,389,1
389,367,1
386,271,1
360,284,1
363,167,1
232,271,1
378,271,1
277,271,3
277,356,1
437,271,1
421,356,1
409,271,1
118,271,1
431,271,1
431,409,1
407,271,1
416,271,1
416,438,1
20,271,1
20,443,1
20,438,1
9,137,1
9,438,3
9,271,1
9,356,1
42,271,1
402,194,1
441,209,2
209,441,2
446,194,1
277,422,1
120,904,2
400,120,1
277,904,2
400,277,1
48,904,1
400,48,1
31,904,2
400,31,1
329,194,1
331,194,2
414,194,1
404,194,1
368,194,1
277,368,1
48,194,6
401,194,1
435,194,1
277,296,1
430,209,1
436,209,2
374,209,1
209,436,1
440,437,2
437,440,1
194,436,1
436,194,1
271,493,1
16,451,1
16,194,1
305,194,1
194,305,1
389,496,1
496,389,1
3,493,1
389,470,1
271,389,1
389,305,1
275,194,1
194,275,1
48,275,1
454,194,1
478,454,1
494,325,1
473,494,1
374,325,1
331,325,1
16,374,1
437,209,2
209,437,2
48,209,1
48,437,1
194,3,1
194,383,1
484,383,1
277,194,1
194,277,1
120,194,1
194,120,1
479,305,1
194,480,1
480,194,1
478,209,1
235,498,1
